,prediction_submit
0,0
1,1
2,0
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,0
11,1
12,0
13,1
14,1
15,0
16,0
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,0
26,1
27,0
28,0
29,1
30,1
31,1
32,0
33,0
34,1
35,0
36,1
37,1
38,1
39,0
40,0
41,1
42,1
43,1
44,0
45,1
46,1
47,0
48,1
49,1
50,0
51,1
52,0
53,1
54,1
55,0
56,1
57,0
58,0
59,1
60,1
61,0
62,0
63,1
64,1
65,1
66,0
67,1
68,0
69,1
70,1
71,1
72,0
73,1
74,0
75,0
76,0
77,0
78,1
79,1
80,0
81,1
82,1
83,1
84,0
85,0
86,1
87,0
88,0
89,1
90,1
91,0
92,0
93,1
94,1
95,0
96,0
97,1
98,0
99,0
100,1
101,1
102,1
103,0
104,0
105,0
106,0
107,0
108,1
109,1
110,0
111,1
112,1
113,0
114,1
115,1
116,0
117,0
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,0
130,1
131,0
132,1
133,1
134,1
135,0
136,0
137,0
138,0
139,1
140,1
141,1
142,0
143,1
144,1
145,0
146,1
147,1
148,0
149,0
150,1
151,1
152,0
153,1
154,0
155,1
156,1
157,1
158,0
159,1
160,1
161,1
162,1
163,0
164,0
165,1
166,1
167,1
168,1
169,1
170,1
171,0
172,1
173,0
174,0
175,1
176,0
177,1
178,1
179,1
180,0
181,1
182,1
183,1
184,0
185,1
186,0
187,0
188,1
189,1
190,1
191,0
192,0
193,1
194,1
195,0
196,0
197,1
198,1
199,1
200,0
201,1
202,1
203,1
204,1
205,1
206,1
207,0
208,1
209,1
210,0
211,1
212,1
213,1
214,0
215,1
216,1
217,0
218,0
219,0
220,0
221,1
222,1
223,1
224,0
225,1
226,1
227,1
228,0
229,0
230,0
231,0
232,0
233,1
234,1
235,1
236,0
237,0
238,1
239,1
240,1
241,0
242,0
243,1
244,0
245,1
246,1
247,1
248,0
249,1
250,1
251,1
252,0
253,0
254,1
255,1
256,1
257,1
258,1
259,1
260,1
261,1
262,1
263,1
264,1
265,1
266,1
267,1
268,0
269,1
270,0
271,1
272,0
273,1
274,0
275,0
276,0
277,0
278,0
279,0
280,1
281,1
282,1
283,1
284,1
285,0
286,0
287,0
288,1
289,1
290,0
291,1
292,0
293,1
294,0
295,1
296,1
297,1
298,1
299,0
300,0
301,0
302,0
303,1
304,1
305,0
306,1
307,1
308,0
309,0
310,1
311,0
312,1
313,0
314,1
315,1
316,0
317,1
318,0
319,0
320,0
321,0
322,0
323,1
324,0
325,1
326,1
327,0
328,0
329,1
330,0
331,1
332,1
333,1
334,0
335,1
336,0
337,1
338,0
339,1
340,1
341,1
342,1
343,0
344,1
345,0
346,1
347,1
348,1
349,1
350,0
351,0
352,1
353,0
354,0
355,1
356,1
357,0
358,1
359,0
360,1
361,0
362,1
363,0
364,1
365,0
366,1
367,1
368,1
369,0
370,0
371,0
372,1
373,1
374,0
375,0
376,1
377,0
378,0
379,0
380,0
381,0
382,1
383,1
384,1
385,1
386,0
387,1
388,1
389,0
390,0
391,1
392,0
393,1
394,1
395,1
396,1
397,1
398,1
399,1
400,0
401,1
402,1
403,1
404,1
405,0
406,1
407,0
408,0
409,1
410,0
411,1
412,1
413,0
414,1
415,0
416,0
417,0
418,1
419,1
420,0
421,0
422,0
423,1
424,0
425,0
426,1
427,1
428,0
429,1
430,0
431,0
432,0
433,1
434,0
435,0
436,0
437,1
438,1
439,1
440,1
441,0
442,0
443,1
444,0
445,0
446,1
447,1
448,1
449,1
450,1
451,0
452,1
453,0
454,1
455,0
456,0
457,1
458,0
459,0
460,1
461,1
462,0
463,0
464,1
465,0
466,0
467,0
468,0
469,1
470,0
471,1
472,0
473,0
474,1
475,0
476,0
477,0
478,0
479,1
480,1
481,1
482,1
483,1
484,1
485,1
486,1
487,1
488,1
489,0
490,0
491,1
492,0
493,0
494,1
495,0
496,0
497,1
498,1
499,1
500,0
501,1
502,0
503,0
504,1
505,1
506,1
507,0
508,0
509,1
510,1
511,1
512,1
513,0
514,0
515,1
516,0
517,0
518,1
519,1
520,0
521,1
522,1
523,0
524,0
525,1
526,0
527,0
528,1
529,1
530,1
531,1
532,0
533,0
534,0
535,1
536,0
537,0
538,1
539,0
540,0
541,0
542,0
543,1
544,1
545,1
546,0
547,0
548,0
549,0
550,0
551,1
552,1
553,0
554,1
555,1
556,1
557,1
558,0
559,0
560,0
561,1
562,1
563,0
564,1
565,1
566,1
567,0
568,1
569,0
570,0
571,0
572,1
573,0
574,0
575,0
576,1
577,0
578,1
579,1
580,1
581,0
582,0
583,1
584,0
585,1
586,1
587,1
588,0
589,1
590,0
591,0
592,0
593,0
594,0
595,0
596,0
597,1
598,1
599,1
600,1
601,1
602,1
603,0
604,0
605,1
606,0
607,0
608,0
609,1
610,0
611,1
612,0
613,0
614,0
615,1
616,1
617,1
618,0
619,1
620,1
621,0
622,1
623,0
624,0
625,1
626,1
627,1
628,1
629,0
630,1
631,0
632,1
633,1
634,1
635,1
636,1
637,0
638,0
639,1
640,0
641,0
642,1
643,0
644,1
645,1
646,1
647,0
648,1
649,0
650,1
651,0
652,1
653,1
654,0
655,0
656,0
657,1
658,0
659,1
660,1
661,1
662,1
663,1
664,0
665,0
666,0
667,0
668,0
669,0
670,1
671,1
672,1
673,1
674,0
675,0
676,1
677,0
678,1
679,1
680,1
681,0
682,0
683,1
684,0
685,1
686,1
687,1
688,1
689,1
690,0
691,0
692,1
693,1
694,0
695,1
696,1
697,1
698,1
699,1
700,1
701,0
702,0
703,0
704,1
705,1
706,1
707,1
708,1
709,1
710,0
711,1
712,1
713,1
714,1
715,0
716,0
717,1
718,1
719,1
720,0
721,1
722,0
723,1
724,1
725,0
726,0
727,1
728,1
729,0
730,0
731,1
732,0
733,0
734,0
735,0
736,0
737,1
738,1
739,1
740,1
741,1
742,1
743,0
744,1
745,1
746,1
747,0
748,1
749,1
750,1
751,1
752,0
753,1
754,1
755,1
756,1
757,0
758,0
759,1
760,0
761,0
762,1
763,0
764,1
765,1
766,0
767,1
768,0
769,1
770,0
771,0
772,0
773,0
774,1
775,0
776,0
777,1
778,1
779,0
780,1
781,0
782,1
783,0
784,1
785,0
786,1
787,0
788,1
789,0
790,0
791,1
792,1
793,1
794,1
795,0
796,0
797,1
798,0
799,1
800,0
801,1
802,1
803,0
804,0
805,0
806,0
807,1
808,1
809,0
810,1
811,1
812,1
813,0
814,0
815,1
816,0
817,1
818,0
819,0
820,0
821,1
822,1
823,1
824,1
825,0
826,0
827,1
828,1
829,1
830,0
831,1
832,1
833,1
834,1
835,1
836,1
837,1
838,1
839,1
840,1
841,1
842,0
843,0
844,0
845,1
846,0
847,0
848,0
849,0
850,0
851,1
852,1
853,0
854,1
855,1
856,1
857,1
858,1
859,1
860,1
861,1
862,0
863,1
864,1
865,1
866,1
867,1
868,1
869,1
870,0
871,0
872,0
873,1
874,1
875,1
876,0
877,0
878,1
879,0
880,1
881,1
882,1
883,1
884,1
885,0
886,1
887,1
888,1
889,0
890,0
891,1
892,0
893,0
894,1
895,0
896,0
897,0
898,0
899,0
900,1
901,0
902,1
903,0
904,1
905,1
906,0
907,1
908,1
909,1
910,0
911,1
912,1
913,1
914,1
915,1
916,0
917,0
918,0
919,0
920,0
921,1
922,0
923,0
924,1
925,0
926,1
927,0
928,1
929,1
930,1
931,1
932,1
933,1
934,0
935,1
936,0
937,0
938,0
939,1
940,1
941,1
942,1
943,0
944,0
945,0
946,1
947,1
948,0
949,1
950,0
951,0
952,1
953,1
954,1
955,0
956,1
957,0
958,1
959,0
960,0
961,0
962,1
963,1
964,0
965,1
966,1
967,1
968,0
969,0
970,0
971,0
972,0
973,1
974,0
975,0
976,0
977,1
978,1
979,0
980,0
981,0
982,1
983,1
984,0
985,1
986,1
987,1
988,1
989,0
990,1
991,0
992,1
993,1
994,1
995,0
996,1
997,0
998,1
999,1
1000,0
1001,0
1002,1
1003,1
1004,0
1005,0
1006,1
1007,1
1008,0
1009,1
1010,1
1011,1
1012,0
1013,1
1014,1
1015,0
1016,1
1017,1
1018,0
1019,1
1020,0
1021,1
1022,1
1023,0
1024,1
1025,1
1026,1
1027,0
1028,1
1029,1
1030,1
1031,1
1032,0
1033,0
1034,1
1035,1
1036,1
1037,1
1038,1
1039,1
1040,0
1041,0
1042,0
1043,1
1044,1
1045,1
1046,1
1047,1
1048,1
1049,1
1050,1
1051,1
1052,1
1053,1
1054,1
1055,0
1056,1
1057,1
1058,0
1059,0
